Name,Year,Genre,Rating,Description
Cowboy Bebop,(1998–1999),"Animation, Action, Adventure",8.9,"Simply the greatest for an outstanding cast of characters, triumphant soundtrack, spectacular action, and it can be watched either dubbed or subbed, both versions are sublime.
Despite initially being episodic in nature underlying storyline rears its head and proves to thoroughly engaging, you've just got to give this anime the opening five episodes, don't make a judgement call after just one episode. See it out and you will be greatly rewarded."
Steins;Gate,(2011–2015),"Animation, Comedy, Drama",8.8,"One of the greatest all round anime ever. With comedy, romance, tragedy, sci-fi, and even a little action blended perfectly together. It featured an original premise and a satisfying conclusion.
The character of Mad Scientist will become one of your favourites.
Since it involves time travel the first episode is seriously confusing, however by the end of episode three you'll be fully clued in, essential viewing, don't drop it! The best time travel anime ever made."
Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen,(1999),"Animation, Action, Adventure",8.6,"The 4 episode OVA prequel to the original Kenshin anime. This anime involves masterful storytelling, Kenshin the main character is given a rich backstory, the anime plays out always rising, never falters, zero filler, a rich and rewarding experience. The greatest samurai anime ever made.
Despite only being four episodes long it feels very complete and those who want to see more of Kenshin (which you will) can check out the sequel (original anime) series."
Berserk,(1997–1998),"Animation, Action, Adventure",8.7,"This series has perhaps the greatest character development of any anime ever made, you become attached to each character who each has well fleshed out personalities comprised of individual qualities, flaws, and ideals. If you hold merit for engaging plot, are exhilarated by action scenes with large doses of violence and don't abhor nudity this is definitely the anime series for you. 
It's one of the best anime I've ever seen, the only thing that holds it back as an anime series is one tedious flaw, you'll have to watch it, to find out for yourself."
Baccano!,(2007–2008),"Animation, Action, Adventure",8.2,"This anime initially can be confusing because of the huge, overwhelming cast of characters but persevere! It’s a series that’s hard to describe without spoiling it. If you like hardcore action, suspense, and fantasy. You will love it. Issac and Miria are my favourite anime duo ever! However Baccano! does feature some demented characters and plenty of graphic violence. If you like Elfen Lied you will adore Baccano! 
P.S. The team that made this later went onto make Durarara!! which was just a modern set, watered down, rehash of Baccano! Basically if you watched Durarara!! and haven't seen this you should look in a mirror and slap yourself :P (This anime requires a minimum trial period of five episodes)."
Mushishi,(2005–2014),"Animation, Drama, Fantasy",8.5,"Ask people for the most beautiful anime ever made and the vast majority will reply, Mushi-Shi. It's unique in the fact that the entire anime centers almost entirely on one character. The scenery is beautiful, however this is an episodic anime, if you need an anime that continues on from week to week this may not be for you.
Without spoiling anything about the story I'll just say this is an anime to be savoured, perhaps one episode each night. The most magical, relaxing anime I've ever seen. Simply wonderful."
Lady Oscar,(1979–1980),"Animation, Action, Drama",8.4,"This is a fascinating telling of Queen Marie Antoinette's rise and fall as ruler of France.
This anime involved murder, suicide, betrayal, cross dressing and even a rape attempt. It was utterly groundbreaking and still is, the cover art is totally unfitting with the mature and serious nature of this anime.
It's a high drama/romance/history anime.... it actually centers on a character called Lady Oscar, I almost dropped it during the early episodes but didn't and I was greatly rewarded, it has one of the best anime endings ever. It does take awhile to really take off and grip you however it's well worth the wait. It's an anime for those interested in a brilliant plot and exceptional character development."
Ginga eiyû densetsu,(1988–1997),"Animation, Action, Drama",9.1,"This anime takes some 25 of its total 110 episodes to really grasp the viewer, however those with patience are treated to arguably the greatest anime ever made.
I seriously don't want to spoil anything about this masterpiece of an anime, I'll just say this is one if not thee best space opera anime ever made.
Are you tired of stagnant and hollow characters? Are you tired of pointless fanservice? Are you tired of watching anime with no content or appeal for the intellectual viewer? If the answer to these questions is yes, you must watch this anime. You won't be disappointed."
"Ima, soko ni iru boku",(1999–2000),"Animation, Action, Adventure",7.9,"Wow, just wow. It dropped my jaw the first time I watched it, as a guy I normally like war movies, shows, anime however they usually glamorise war. This anime is the exact opposite, I did really love it but because it had a magnificent, strong anti-war message.
I won't say much as I don't want to spoil anything but this is a very short anime and certainly worthwhile viewing."
HUNTER×HUNTER,(2011–2014),"Animation, Action, Adventure",9.0,"I previously had the 90s incarnation of Hunter x Hunter on this list. While both are almost identical in dialogue and scene by scene, I've switched in this newer version as it's what the vast majority of watchers have placed their valuable viewing time towards. While both versions are hugely recommendable, this version is more complete into one bundle. With the original Hunter x Hunter being split over a series and multiple OVA's.
Anyway it's a fantastic anime and one that genuinely can be considered a staple for the genre."
